myday_id,user_id,entry_date,entry
72,14,2020-01-14,"14/01
1. college
2. doing decision tree assignments"
73,8,2020-01-14,"college
watching decision tree videos"
74,6,2020-01-14,"14/01/20
1. Worked on titanic dataset
2. Completed task 18 & submitted"
75,18,2020-01-14,"14/1
Attended an invitation.Saw the decision tree videos."
76,5,2020-01-14,"Went to college. Watched videos for assignment 6"
77,11,2020-01-14,"Went to college
Watched some videos"
78,17,2020-01-14,"Internship Work
DBMS
Study"
79,6,2020-01-15,"1. Completed & submitted titanic Competition work
2. Watched video on AWS & database
3. Now working on task 19"
80,21,2020-01-15,"15/01
Went to college
Watched the video
Will study a bit"
81,14,2020-01-15,"15/01
1. college
2. completed lab file
3. completed college assignments"
82,3,2020-01-15,"college. andrew ng NN started. decision tree all videos. few assignments."
83,17,2020-01-15,"Study
Internship Work
ML Videos"
84,8,2020-01-15,"college
watched decision tree video"
85,11,2020-01-15,"Went to college"
86,9,2020-01-16,College
87,17,2020-01-16,"Study for exam
"
88,15,2020-01-16,"College
Gym
Task 19
"
89,8,2020-01-16,"college
movie
working on desicion tree vid and task"
90,38,2020-01-16,"watched lectures"
91,21,2020-01-16,"16/01

1. Went to college
2. Working on Titanic dataset"
92,14,2020-01-16,"1. college
2. sick"
93,35,2020-01-16,"Read a few articles on machine learning
Revised the previous topics
College work"
94,39,2020-01-16,"Revised the previous topics"
95,43,2020-01-16,"Revised previous topics ."
96,6,2020-01-16,"1. Watched videos on decision tree 
2. Doing the pending assignments"
97,52,2020-01-16,"Read articles on web design 
watched lectures
looking to Revise previous topics"
98,18,2020-01-16,"16/1
AWS videos and task."
99,5,2020-01-16,"Went to college. Did some coding practice. "
100,11,2020-01-16,"Went to college
Completed lab files"
101,49,2020-01-17,"Working on JavaScript "
102,5,2020-01-17,"Went to college. Watched videos for Task 17"
103,18,2020-01-17,"17/1
1.Working on PostgreSQL
2.India vs. Australia match."
104,8,2020-01-17,"college
watched vid
movie"
105,6,2020-01-17,"1. Went to a friend's house
2. Working on a project for SIH 
3. Doing assignments 6,7 "
106,14,2020-01-17,"1. college
2. watched videos
3. completing pending assignments"
107,15,2020-01-17,"College
Treat of friend
Personal work
Just got back home "
108,40,2020-01-17,"Working in a RC Plane for an upcoming fest (Technex). 
Read an article on AI that how it can be implemented in the coming generations to take the decisions on court judgments.  Watched the vedio lecture of CampusX Website Launch."
109,17,2020-01-17,"Had Exam
Study
Sleep"
110,21,2020-01-17,"17/01

went to IAM fest for chess
working on AWS"
111,52,2020-01-17,"revising previous topics
done some data scrapping"
112,12,2020-01-17,"Blood Donation Camp at college."
113,41,2020-01-17,"Chicken party with friends"
114,11,2020-01-18,"Went to college"
115,25,2020-01-18,"watched videos on portfolio making.."
116,35,2020-01-18,"Watched lectures on google sites
College works
Read a chapter of Dark Matter"
117,38,2020-01-18,"Revised the previous topics
work on a new website"
118,43,2020-01-18,"worked on portfolio website"
119,18,2020-01-18,"18/1
1.Went to a relative's house.
2. Read a book.
3. Still working on PostgreSQL."
120,29,2020-01-18,"Watched Data analytics first video. 
Portfolio website in progress. "
121,21,2020-01-18,"18/01

Did the titanic survey
college assignments
"
122,44,2020-01-18,"Watched Campus {X} Videos for revision
"
123,14,2020-01-18,"Whole day spent with maa baba"
124,8,2020-01-18,"1.outing
2.nothing else"
125,6,2020-01-18,"1. Worked on SIH project
2. Doing task 19"
126,45,2020-01-18,"Worked on task 6"
127,5,2020-01-18,"Worked on task 19 and kaggle competition "
128,15,2020-01-18,"task 19, titanic"
129,17,2020-01-18,"Exam Study
Sleep
DATABASE"
130,40,2020-01-18,"Watch the vedio on portfolio. Searched some of the portfolio and took few ideas and implemented in my portfolio.
Made my own portfolio (Completed Home page)."
131,16,2020-01-18,"Working on pending assignments!"
132,41,2020-01-18,Traveling
133,49,2020-01-19,"Website Design
"
134,11,2020-01-19,"Completed task 15"
135,9,2020-01-19,"videos on decision tree
"
136,35,2020-01-19,"Continued with Dark Matter
Watched a movie
Completed the portfolio task

"
137,43,2020-01-19,"completed portfolio website."
138,77,2020-01-19,"Attended Orientation Programme.
It was very motivating."
139,79,2020-01-19,"Attended today's orientation program,got briefly roadmap about the mentorship.(19/01/20)
"
140,38,2020-01-19,"watched lectures
solved problems on math
Complete Task #6"
141,73,2020-01-19,"Attended Orientation Program "
142,94,2020-01-19,"Did today's orientation class "
143,84,2020-01-19,"Attended today's orientation class. "
144,98,2020-01-19,"Attended orientation program "
145,8,2020-01-19,"1.Attended class
2.working on tasks"
146,72,2020-01-19,"Attended Orientation program. Watched the Derby?????????? and India vs Australia????????"
147,89,2020-01-19,"Participated in the  orientation program"
148,44,2020-01-19,"Worked on task 6 and watched lectures."
149,83,2020-01-19,"Attended today's orientation program."
150,39,2020-01-19,"Completed and Submitted my portfolio website"
151,95,2020-01-19,"Attended orientation program. Watched  India vs Australia (2-1). "
152,90,2020-01-19,"Attended Orientation Program"
153,81,2020-01-19,"Attended the orientation program . Watched the Eastbengal vs Mohunbagan derby and India vs Australia ODI."
154,45,2020-01-19,"Watched previous videos
"
155,86,2020-01-19,"Attend Orientation program and watch today's cricket match"
156,76,2020-01-19,"Attended orientation program."
157,82,2020-01-19,"Attended Orientation Program today and got a full roadmap of the mentorship program."
158,67,2020-01-19,"Attended The Orientation Program
It was really awsome"
159,68,2020-01-19,"Attended Orientation Program and tried to do book recommendation system "
160,16,2020-01-19,"1. Offline class.
"
161,15,2020-01-19,"titanic all day "
162,5,2020-01-19,"Attended offline class. Working on task 19 and assignment 7. Submitted csv file in Kaggle competition"
163,75,2020-01-19,"Attended the campusx orientation program and hit the gym."
164,93,2020-01-19,"Attended the orientation program.
Practiced basics of python ."
165,74,2020-01-19,"Attended The Orientation Program. "
166,104,2020-01-19,"Attended Orientation program "
167,6,2020-01-19,"1. Attended today's session
2. Working on again titanic
3. Working on task 19"
168,103,2020-01-19,"Attend the orientation program..."
169,85,2020-01-19,"Attended Orientation program for the mentorship."
170,87,2020-01-19,"Attended Orientation program"
171,78,2020-01-19,"Attended the Orientation Program. Spent the entire evening at my college's annual cultural fest, working as a core member."
172,96,2020-01-19,"Attended the Orientation Program.Watched India vs Australia. Attended my kathak class."
173,21,2020-01-19,"went for offline class
was out with family
submitted titanic survival"
174,88,2020-01-19,"Today I have attended the orientation curriculum of the mentorship program CampusX which is really a enthusiastic way to start for a big challenge the MACHINE LEARNING."
175,18,2020-01-19,"19/1
1. Attended today's session.
2. Titanic prediction and PostgreSQL."
176,14,2020-01-19,"1. worked on aws
2. attended class
3. working on titanic dataset"
177,40,2020-01-19,"Completed Portfolio through Google Sites.
Worked in a RC Plane"
178,1,2020-01-19,"Was with family"
179,29,2020-01-19,"Completed portfolio. "
180,17,2020-01-19,"Study
Internal Hackathon"
181,32,2020-01-19,"watched videos on portfolio and completed the task..."
182,67,2020-01-20,"Very excited to start the program...."
183,87,2020-01-20,"Going through everyone's Myday to select the best one to copy-paste"
184,38,2020-01-20,"Nothing productive
Travelled"
185,35,2020-01-20,"College work
watched lectures on Algorithms
Watches a movie"
186,94,2020-01-20,"Play cricket match after long time "
187,86,2020-01-20,"Played cricket match after long while.."
188,43,2020-01-20,"Revision "
189,39,2020-01-20,"Nothing productive
"
190,79,2020-01-20,"Went for short tour with friends and also watched videos on how github works.."
191,11,2020-01-20,"Went to college
Completed Titanic wala task"
192,53,2020-01-20,"Just finish my portfolio site
Revise the old things"
193,15,2020-01-20,"college, assignment 7, packing "
194,45,2020-01-20,"Nothing productive "
195,44,2020-01-20,"Watched python lectures."
196,29,2020-01-20,"Revised some numpy lectures.
"
197,105,2020-01-20,"Went to college and watched the video  on how the complexity of the Merge sort is calculated."
198,76,2020-01-20,"Attended college and made notes for the day."
199,68,2020-01-20,"started taking french class and went to give tuition in the evening "
200,104,2020-01-20,"Attended college. Started learning algorithms."
201,96,2020-01-20,"Did some research about building a medium profile and went through some profiles. "
202,73,2020-01-20,"First day of 4th semester nothing new "
203,103,2020-01-20,"First day of 4th SEM .. seeing the video lecture and do the task..."
204,5,2020-01-20,"Went to college. Worked on titanic dataset. "
205,93,2020-01-20,"Listened to music
Watched videos on python."
206,95,2020-01-20,"Read some articles related to the machine learning and data science. Played a cricket match????. "
207,77,2020-01-20,"Played heck of Call of Duty"
208,102,2020-01-20,"Attended college lectures ; went to teach ; watched videos on different sorting algorithms."
209,88,2020-01-20,"Starting my first step of this curriculum - How to make a kickass
LinkedIn profile"
210,89,2020-01-20,"Really excited to make a strong LinkedIn profile"
211,21,2020-01-20,"went to college.
finished college assignment"
212,78,2020-01-20,"College reopened today for 4th semester. Same old uniform, again.
Really pissed off because my Jupyter notebook is crashing repeatedly, and so is my laptop. Which makes me realize how much dependent we have become on technology. "
213,14,2020-01-20,"1. college
2. college assignments
3. worked on titanic dataset"
214,40,2020-01-20,"Studied basics of Microprocessor (8085).
Watched movie"
215,16,2020-01-20," 1. Working on pending assignments."
216,6,2020-01-20,"1. Went to college
2. Working on SIH project"
217,75,2020-01-20,"Sat through college; revamped my LinkedIn profile."
218,90,2020-01-20,"Participated in SIH hackathon"
219,8,2020-01-20,"1.sick
2.working on titanic dataset"
220,81,2020-01-20,"Went to college."
221,18,2020-01-20,"20/1
1.Titanic Prediction
2. PostgreSQL."
222,84,2020-01-20,"Was at home same usual day.. watched the video on making a strong LinkedIn profile."
223,17,2020-01-20,"Titanic Competition
Exam
Netflix"
224,82,2020-01-20,"Watched the video on making a strong Linkedin profile and attended Internal Hackathon of Smart India Hackathon 2020 in my college."
225,48,2020-01-21,"20/01/20.   Nothing productive."
226,67,2020-01-21,"Happy Birthday to me.... ????????????"
227,79,2020-01-21,"From today our college is starting.again....????.."
228,80,2020-01-21,"College started again????"
229,68,2020-01-21,"Went to college and made a linkdeln profile"
230,82,2020-01-21,"Updated the LinkedIn profile submitted the task, attended the college and working on a hardware project."
231,52,2020-01-21,"updating my portfolio site."
232,35,2020-01-21,"Travelled
Continued with the novel
Read a few articles on self-development"
233,43,2020-01-21,"Revision
"
234,39,2020-01-21,"Revised pandas lectures
"
235,72,2020-01-21,"Created the linkedin profile. :)"
236,74,2020-01-21,"Went to college, first day of new sem, made a LinkedIn profile and went for some grocery shopping. ????????"
237,90,2020-01-21,"Participated in SIH Hackathon day-2"
238,83,2020-01-21,Nothing
239,41,2020-01-21,Travelling
240,76,2020-01-21,"Attended college as usual. Enhances my linkedIn profile thanks to Suprabhat's id xD. Planning to spend some time on my project"
241,102,2020-01-21,"Went to college and updated my linkedin profile"
242,105,2020-01-21,"Went to college and created LinkedIn profile. "
243,81,2020-01-21,"Went to college. Done some changes on my linkedln profile. "
244,36,2020-01-21,"Watched the video on data analysis and started a course on web development"
245,104,2020-01-21,"Did my assignment, worked on creating LinkedIn profile. "
246,44,2020-01-21,"Did nothing productive."
247,18,2020-01-21,"21/1
Dayout with family.
Decision Tree videos."
248,45,2020-01-21,"Watched previous lectures"
249,94,2020-01-21,"First day of new semester i.e., 4th sem...."
250,15,2020-01-21,"college
going to Shirdi tomorrow early morning so packing now"
251,103,2020-01-21,"College as usual..seeing some video lectures in YouTube.."
252,73,2020-01-21,"Went to  college , created linkedin profile ,watching standup"
253,96,2020-01-21,"attended college"
254,93,2020-01-21,"Edited my LinkedIn profile
"
255,21,2020-01-21,"went to college
went out with mom"
256,89,2020-01-21,"Went to college and made a linkdeln profile"
257,87,2020-01-21,"1. Implemented OOP in python
2. Revised pointers/DS in C
3. Submitted first task on Google Classroom"
258,38,2020-01-21,"reading random blog"
259,85,2020-01-21,"Completed the First assignment of Micro Processors and Microcontrollers. Hit the gym."
260,5,2020-01-21,"Went to college. Nothing else. "
261,9,2020-01-21,"college "
262,88,2020-01-21,"Today I have learnt to create a strong profile in LinkedIn"
263,95,2020-01-21,"Bunked the classes after lunch break on the first day of new semester (4th sem). Edited my LinkedIn profile. "
264,101,2020-01-21,"di ka marriage tha abhi rest le raha hu sif khanna pina and ghumna "
265,14,2020-01-21,"1. college 
2. completing pending assignments"
266,86,2020-01-21,"Attended first day of 4th sem College lecture "
267,40,2020-01-21,"Worked in RC Plane.
Surfing Internet and read some blogs and watched movie"
268,53,2020-01-21,"Starting pandas again"
269,16,2020-01-21,"1. College sports fest.
2. Tried making the Zomato database schema."
270,78,2020-01-21,"Attended college. Gobsmacked to know we've both Environmental Studies and Biology in the same semester :' (
Cleaned up the junk in my laptop."
271,77,2020-01-21,"Tried to make my own neural network"
272,75,2020-01-21,"Attended college, caught up on my sleep schedule and helped a friend get started with flutter."
273,17,2020-01-21,"Titanic Competiton
Study
Music
Netflix
"
274,84,2020-01-21,"Made changes on my LinkedIn profile"
275,48,2020-01-22,"Review topics
Watched series"
276,11,2020-01-22,"Went to college
Did nothing bcz of abdominal pain"
277,101,2020-01-22,"tanaji movie dekhne ja raha hu and linkedin wala task ve chaal raha he"
278,82,2020-01-22,"Attended college and learned about something Python image processing."
279,71,2020-01-22,"Finally linkedin profile is ready"
280,15,2020-01-22,"In shirdi. "
281,83,2020-01-22,"Completed the task."
282,93,2020-01-22,"Watched the movie Super30. Really an inspiring one!!!!"
283,94,2020-01-22,"Finally complete the task"
284,81,2020-01-22,"Completed  my Linkedln profile. "
285,88,2020-01-22,"Today I have completed my first task"
286,89,2020-01-22,"Today i have completed my first task ????"
287,79,2020-01-22,"Again same day for college..watchedsome youtube videos about machine learning.."
288,96,2020-01-22,"Went to college, made linkedIn profile,attended Xavotsav"
289,102,2020-01-22,"Attended college ; went to teach ; uploaded linkedin profile"
290,95,2020-01-22," Went to college and attended machine drawing lab.Completed the task. "
291,44,2020-01-22,"Traveling "
292,5,2020-01-22,"Went to college. Nothing else. "
293,74,2020-01-22,"Went to college, worked on a project and stucked with a problem.
It seems like peace was never an option."
294,29,2020-01-22,"Revised data analysis and API Video. "
295,85,2020-01-22,"Updated my linkedin profile. Started watching Sex Education season 2."
296,103,2020-01-22,"College as usual and do some project work"
297,68,2020-01-22,"Went to college, worked on a project for tech fest , solved one problem and another was just standing behind it. "
298,38,2020-01-22,"watched previous lectures"
299,76,2020-01-22,"Attended college. Will look into how to transfer data from excel to mysql in php"
300,39,2020-01-22,"Attending the Aws session"
301,105,2020-01-22,"Went to college and installed android studio."
302,43,2020-01-22,"attended aws offline session"
303,87,2020-01-22,"Built Tic Tac Toe game in python(implementing function and scope)"
304,73,2020-01-22,"Nothing much "
305,90,2020-01-22,"attended college"
306,14,2020-01-22,College
307,75,2020-01-22,"attended college. watched my friend have the time of his life on a scooter ride. Studied how to bootload an avr chip. Learnt a Rubik's cube algorithm."
308,18,2020-01-22,"22/1
Watched movies.
Will sleep."
309,80,2020-01-22,"Went to college, Updated my linkedin profile"
310,104,2020-01-22,"Attended college and completed my linkedin profile."
311,67,2020-01-22,"Went to college just to return the library books....no class...."
312,21,2020-01-22,"22/01

Was out the whole day"
313,16,2020-01-22,"working on Decision Tree tasks"
314,78,2020-01-22,"Recapitulated the concepts of file handling in Python, in college, only to realize that I had forgotten everything :')
Caught up on some much-needed sleep."
315,40,2020-01-22,"Completed my 1st RC Plane and learn to Glide the plane and handle in a smooth manner.
Attended Offline Classes of Data Engineering and made account on AWS.
"
316,84,2020-01-22,"Updated my linkedin profile and submitted the first task assigned."
317,6,2020-01-22,"1. Went to college
2. Working on SIH "
318,9,2020-01-22,"recipe task and college project"
319,48,2020-01-23,"Attended session on data engineering"
320,92,2020-01-23,"Again same day for college..watchedsome youtube videos"
321,67,2020-01-23,"Waiting for the result of task #1..... "
322,35,2020-01-23,"Watched lectures
read a few articles"
323,45,2020-01-23,"Travelling "
324,71,2020-01-23,"now to upload the task"
325,89,2020-01-23,"Waiting for the  result"
326,101,2020-01-23,"ML ka projects dekhraha hu"
327,38,2020-01-23,"Work on some new feature on my website."
328,82,2020-01-23,"Today was holiday spent whole day for a hardware project and completed the Python project of training."
329,81,2020-01-23,"Python Programming."
330,86,2020-01-23,"College holiday...So played cricket "
331,77,2020-01-23,"Made a fully working basic neural network to classify Handwritten digits."
332,104,2020-01-23,"Since today was a holiday so basically i wasted my day by sleeping, Netflix , played badminton."
333,102,2020-01-23,"Just relaxed a bit and did some assignments "
334,94,2020-01-23,"Play cricket match "
335,79,2020-01-23,"Celebrate the birthday of our National hero .in our club. Also watched videos on data scientist and data analysis on campusx channel also watched many more things"
336,53,2020-01-23,"Revised the web scraping lecture"
337,39,2020-01-23,"watched a movie"
338,43,2020-01-23,"Watched lectures on RDS"
339,103,2020-01-23,"Going to shopping.....Waiting for result of task 1.."
340,93,2020-01-23,"Went to film festival.
Practiced coding."
341,105,2020-01-23,"Started learning flutter."
342,96,2020-01-23,"completed a project and did some research on machine learning"
343,73,2020-01-23,"Watched movies "
344,72,2020-01-23,"Updated my linkedin profile."
345,95,2020-01-23,"Played cricket. "
346,14,2020-01-23,"1. lab assignments
2. watched regression tree video"
347,5,2020-01-23,"Worked on assignment 4. Nothing else. "
348,76,2020-01-23,"Holiday = Rest Day ( too lazy to work)"
349,68,2020-01-23,"went to attain a party with parents "
350,18,2020-01-23,"23/1
Watched decision tree videos.
Some Tableau."
351,75,2020-01-23,"Practised the Rubik's cube to improve my timing, hit the gym, touched a bit of basic python cuz imma noob... Currently :)"
352,21,2020-01-23,"Worked on tasks. 
slept too much ..."
353,78,2020-01-23,"Went on a long drive with my best friend."
354,87,2020-01-23,"Implemented OOP with magic methods"
355,84,2020-01-23,"Did nothing much"
356,83,2020-01-23,Work.
357,16,2020-01-23,"Working on the Decision Tree algorithm."
358,80,2020-01-23,"Successfully wasted a holiday ..."
359,40,2020-01-23,"Worked with new RC Plane."
360,6,2020-01-23,"1. Working on SIH
2. Played FIFA 19
3. Nothing else"
361,88,2020-01-23,"Chilling day nothing to say"
362,17,2020-01-23,"Study
Task 17
"
363,67,2020-01-24,"Task #1 was a great learning experience on how to create a good LinkedIn profile

Thank you Sir "
364,48,2020-01-24,Revision
365,49,2020-01-24,"Working on a project"
366,35,2020-01-24,"Read SQL queries
Watched a movie
proceeded with the novel"
367,90,2020-01-24,"tried to complete a mini project"
368,72,2020-01-24,"Have posted in My Day,because i may forget this afterwards. :p "
369,89,2020-01-24,"Still waiting for my result of first task"
370,85,2020-01-24,"Worked out. Registered for a 2v2 CSGO tournament.
"
371,68,2020-01-24,"Went to college and waiting for task1 results"
372,53,2020-01-24,"Try to complete  the web scraping assignment"
373,11,2020-01-24,"Went to school"
374,79,2020-01-24,"Again.same..college days..bdw this semester we have separate Machine Learning syllabus."
375,82,2020-01-24,"Attended college as usual and collected resources for the task 2."
376,94,2020-01-24,"Nothing special But Need to work on my LinkedIn profile"
377,102,2020-01-24,"Went to college; working on task2"
378,86,2020-01-24,"Went to college and nothing else"
379,104,2020-01-24,"Went to college. Spent time with my friend. "
380,45,2020-01-24,"Revised data analysis video "
381,83,2020-01-24,"Task begun.
"
382,43,2020-01-24,"watched lectures on RDS"
383,39,2020-01-24,"watched video on postgres"
384,96,2020-01-24,"attended college"
385,38,2020-01-24,"Solved Math problems
research for blog"
386,103,2020-01-24,"Doing task 2"
387,5,2020-01-24,"Completed with the task on Tableau FINALLY!! Celebrated the whole day on this achievement by sleeping :') "
388,105,2020-01-24,"Went to college and played badminton."
389,15,2020-01-24,"Nashik tour
Wine making tour and tasting
Bought wine bottles
Drunk tired "
390,74,2020-01-24,"Clg as usual,
aaaaaanndd...????
Nothing special."
391,6,2020-01-24,"1. Went to college
2 Then watched Dwitiyo Purush (massive thriller)
3. Having dinner chicken chowmin & chili fish 
"
392,70,2020-01-24,"went to college"
393,75,2020-01-24,"attended college, attended my brother’s birthday dinner"
394,21,2020-01-24,"Went to college
Went out with friend
Working on the ast given assignment"
395,78,2020-01-24,"Realized that it's easy to read an article but tough to write one :')
Couldn't attend college today, a bit sick :'("
396,76,2020-01-24,"Attended college and started working on writing my blog. Working on my linkedin profile too :/"
397,88,2020-01-24,"Working on 2nd task"
398,14,2020-01-24,college
399,73,2020-01-24,"Doing second task"
400,44,2020-01-24,"Nothing productive "
401,93,2020-01-24,"Working on Assignment 2."
402,95,2020-01-24,"Working on task 2."
403,80,2020-01-24,"clg as usual"
404,17,2020-01-24,"Compiler Design
Study
"
405,16,2020-01-24,"Working on the Decision Tree algorithm."
406,8,2020-01-24,1.college
407,101,2020-01-24,"Stated solving one Predictive analysis and also started doing the task 2"
408,87,2020-01-24,"Successfully conducted Bihaan(Freshers)"
409,18,2020-01-24,"24/1
Attended a Wedding Reception "
410,40,2020-01-24,"Made a new RC Plane (FT Bushwacker)."
411,84,2020-01-24,"watched videos, read articles for the 2nd task."
412,67,2020-01-25,"Ahh !!!  Weekends !!!!"
413,48,2020-01-25,"watched lecture on web scraping"
414,89,2020-01-25,"It is a Saturday but i have to do a lot of task..????????????"
415,35,2020-01-25,"Watched lectures on RDBMS
watched a movie
Watched lectures on regex"
416,68,2020-01-25,"Written blog "
417,32,2020-01-25,"Reached kolkata ...today"
418,72,2020-01-25,"Thinking about the task #2"
419,70,2020-01-25,"Written my first blog"
420,15,2020-01-25,"Shani shignapur darshan
Coming back tomorrow"
421,81,2020-01-25,"Done my first blog on medium profile."
422,45,2020-01-25,"Nothing productive "
423,74,2020-01-25,Fine
424,101,2020-01-25,"Writing my first blog ????????????????"
425,94,2020-01-25,"Haven't done task 2 "
426,96,2020-01-25,"on my way to finish second task"
427,25,2020-01-25,Traveling
428,44,2020-01-25,"Traveling. "
429,77,2020-01-25,"Trying to optimize the neural network that I built"
430,38,2020-01-25,"Watched lectures
"
431,53,2020-01-25,"Revised the tableau videos"
432,78,2020-01-25,"Feeling sleepy the entire day. And lazy too. : ("
433,8,2020-01-25,"1.outing
2.watched the vid"
434,102,2020-01-25,"Completed 2nd task"
435,5,2020-01-25,"Watched 3 idiots. Enjoyed the whole day"
436,21,2020-01-25,"Came to goa. Nothing else"
437,43,2020-01-25,"watched lectures on postgreSQL "
438,39,2020-01-25,"continued with the lectures"
439,6,2020-01-25,"1. Wrote a sample for application of content writing
2. Completed assignment 
3. Nothing else"
440,14,2020-01-25,"1. Wrote a sample for application of content writing
2. Completed train test assignment"
441,85,2020-01-25,"I wrote my first ever blog post."
442,83,2020-01-25,"Submitted task."
443,18,2020-01-25,"25/1.
Sick so nothing productive."
444,86,2020-01-25,"Attended college and written a article on different data based job "
445,95,2020-01-25,"First blog..."
446,73,2020-01-25,"Doing task 2 "
447,90,2020-01-25,"tried to write a blog "
448,105,2020-01-25,"Completed Task 2"
449,88,2020-01-25,"Today I have written a blog on medium"
450,75,2020-01-25,"Went out for the whole day and compromised my time given to the blog as a result."
451,11,2020-01-25,"Went for shopping
Enjoyed whole day"
452,40,2020-01-25,"Nothing Productive"
453,93,2020-01-25,"Watched Tarzan(film festival) and Ditiyo Purush by Srijit Mukherjee.
Completed the 2nd assignment but couldn't publish on medium."
454,76,2020-01-25,"Completed my assignment 2: Blog on job roles. Indeed a great experience."
455,104,2020-01-25,"Written my first ever blog. Great Experience."
456,87,2020-01-25,"Completed second task"
457,41,2020-01-25,"At grandmother home"
458,82,2020-01-25,"Today day well spent completed the blog task and completed the tinder project."
459,17,2020-01-25,"Study
Exam
Task 18"
460,52,2020-01-25,"Trying database assignment"
461,67,2020-01-26,"It's Sunday !!! ????????????"
462,68,2020-01-26,"Will complete project drone..."
463,84,2020-01-26,"submitted 2nd task"
464,48,2020-01-26,"Watched lecture"
465,89,2020-01-26,"Happy republic day ..."
466,15,2020-01-26,"Coming back today"
467,35,2020-01-26,"Worked the task and assignment"
468,103,2020-01-26,"Enjoy the weekend at Mandarmani.."
469,83,2020-01-26,Nothing
470,70,2020-01-26,"Happy Republic day
"
471,74,2020-01-26,"Today :- 
Enemies ahead!!!!
I got supplies!!
Ok!!
Not a problem!
Help!!
Excellent work!!!
Get in the car!!!
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
And the list goes on!!! ;-)"
472,80,2020-01-26,"Happy Republic day
"
473,79,2020-01-26,"Celebrated republic day"
474,82,2020-01-26,"Today enjoyed the holiday and returned to Kolkata from Kharagpur after enjoying Spring Fest of IIT Kharagpur."
475,94,2020-01-26,"Spend whole day without doing anything!!!!"
476,88,2020-01-26,"Today I've taken rest for the entire day"
477,53,2020-01-26,"Finished the previous tableau assignment ????"
478,81,2020-01-26,"Enjoyed The Republic Day"
479,72,2020-01-26,"played football after a long time. :)"
480,86,2020-01-26,"Enjoyed today's holiday and watched hostal daze ??"
481,90,2020-01-26,"Nothing Interesting "
482,95,2020-01-26,"Watched Gangs of Wasseypur.chabhi kaha hai..."
483,69,2020-01-26,"Boring day"
484,101,2020-01-26,"Learning about Bipad walking robot "
485,45,2020-01-26,"Worked on previous assignment"
486,32,2020-01-26,"Watched the previous class videos...."
487,43,2020-01-26,"worked on my resume video."
488,39,2020-01-26,"Completed my 1 min long introduction video"
489,104,2020-01-26,"Celebrated republic day in complex. Went to parlor and did some college work. "
490,87,2020-01-26,"Turned in second task late"
491,76,2020-01-26,"Waiting for Assignment 3."
